"","id","fidelidade","sexo","idade","atendimento","sortimento","acessibilidade","preço"
"70","70","nao","masculino",34,"3","2","4","2"
"71","71","nao","feminino",34,"2","3","3","3"
"72","72","nao","feminino",34,"3","2","3","3"
"73","73","nao","feminino",34,"2","3","3","3"
"74","74","nao","masculino",34,"3","2","4","2"
"75","75","nao","feminino",34,"5","1","1","3"
"76","76","nao","feminino",34,"4","3","3","3"
"77","77","nao","feminino",34,"2","3","3","1"
"78","78","nao","feminino",34,"2","2","1","1"
"79","79","nao","feminino",34,"4","3","1","4"
"80","80","nao","feminino",34,"2","4","1","4"
"81","81","nao","feminino",34,"4","3","1","4"
"82","82","nao","feminino",34,"4","4","3","3"
"83","83","nao","feminino",32,"4","3","3","5"
"84","84","nao","feminino",31,"2","3","3","3"
"85","85","nao","feminino",34,"3","2","5","4"
"86","86","nao","feminino",34,"3","2","3","3"
"87","87","nao","feminino",29,"4","1","3","3"
"88","88","nao","feminino",34,"2","3","3","1"
"89","89","nao","feminino",33,"4","1","5","4"
"90","90","nao","feminino",34,"3","2","1","4"
"91","91","nao","masculino",34,"5","1","3","3"
"92","92","nao","feminino",34,"4","4","1","4"
"93","93","nao","feminino",32,"1","3","1","4"
"94","94","nao","feminino",34,"4","4","3","3"
"95","95","nao","feminino",35,"4","3","4","2"
"96","96","nao","feminino",34,"3","5","1","3"
"97","97","nao","feminino",31,"2","3","3","3"
"98","98","nao","feminino",32,"1","3","1","4"
"99","99","nao","feminino",31,"3","1","2","3"
"100","100","nao","masculino",34,"1","1","4","1"
"101","101","nao","feminino",34,"3","2","3","3"
"102","102","nao","feminino",34,"4","4","3","3"
"103","103","nao","feminino",34,"4","3","1","2"
"104","104","nao","masculino",34,"1","1","4","1"
"105","105","nao","feminino",34,"4","1","1","2"
"106","106","nao","feminino",35,"3","2","3","3"
"107","107","nao","feminino",31,"2","3","3","3"
"108","108","nao","feminino",34,"3","2","3","3"
"109","109","nao","feminino",31,"2","3","3","3"
"110","110","nao","feminino",34,"4","3","1","4"
"111","111","nao","feminino",34,"4","1","3","1"
"112","112","nao","feminino",34,"5","1","1","3"
"113","113","nao","feminino",35,"4","3","4","2"
"114","114","nao","feminino",31,"3","1","2","3"
"115","115","nao","feminino",35,"2","3","1","4"
"116","116","nao","feminino",31,"3","1","2","3"
"117","117","nao","feminino",34,"4","1","3","1"
"118","118","nao","feminino",34,"2","3","3","1"
"119","119","nao","feminino",34,"3","2","5","4"
"120","120","nao","feminino",32,"4","3","3","5"
"121","121","nao","feminino",34,"2","4","3","5"
"122","122","nao","feminino",34,"3","5","1","3"
"123","123","nao","feminino",35,"4","3","4","2"
"124","124","nao","feminino",34,"4","4","3","3"
"125","125","nao","masculino",34,"2","2","3","3"
"126","126","nao","feminino",34,"1","5","3","3"
"127","127","nao","feminino",31,"4","3","1","3"
"128","128","nao","feminino",34,"4","4","1","4"
"129","129","nao","feminino",34,"4","1","3","1"
"130","130","nao","feminino",34,"4","4","1","4"
"131","131","nao","feminino",34,"2","4","1","4"
"132","132","nao","feminino",34,"5","1","1","3"
"133","133","nao","masculino",34,"1","1","4","1"
"134","134","nao","feminino",34,"5","1","4","2"
"135","135","nao","feminino",34,"5","1","4","2"
"136","136","nao","feminino",29,"4","1","3","3"
"137","137","nao","feminino",30,"4","3","5","4"
"138","138","nao","feminino",34,"4","1","3","3"
"139","139","nao","feminino",34,"1","5","3","3"
"140","140","nao","feminino",34,"4","3","1","4"
"141","141","nao","feminino",34,"2","2","1","1"
"142","142","nao","feminino",34,"3","2","3","3"
"143","143","nao","feminino",34,"5","1","1","3"
"144","144","nao","feminino",33,"4","1","5","4"
"145","145","nao","feminino",34,"4","3","1","4"
"146","146","nao","feminino",34,"4","4","3","3"
"147","147","nao","masculino",34,"1","1","4","1"
"148","148","nao","feminino",34,"3","2","3","3"
"149","149","nao","feminino",34,"2","4","3","5"
"150","150","nao","feminino",31,"2","3","3","3"
"151","151","nao","masculino",34,"1","4","2","3"
"152","152","nao","feminino",35,"4","3","4","2"
"153","153","nao","feminino",31,"4","3","1","3"
"154","154","nao","feminino",34,"4","1","3","1"
"155","155","nao","feminino",34,"3","2","3","3"
"156","156","nao","feminino",34,"4","3","1","4"
"157","157","nao","feminino",34,"4","3","3","3"
"158","158","nao","feminino",34,"1","5","3","3"
"159","159","nao","feminino",35,"3","2","3","3"
"160","160","nao","feminino",31,"2","3","3","3"
"161","161","nao","feminino",34,"3","2","3","3"
"162","162","nao","feminino",30,"4","3","5","4"
"163","163","nao","masculino",34,"3","2","4","2"
"164","164","nao","feminino",31,"4","3","1","3"
"165","165","nao","feminino",34,"3","2","3","3"
"166","166","nao","feminino",34,"4","4","3","3"
"167","167","nao","feminino",29,"4","1","3","3"
"168","168","nao","feminino",34,"3","2","3","3"
"169","169","nao","masculino",34,"5","1","3","3"
"170","170","nao","feminino",34,"3","2","5","4"
"171","171","nao","feminino",34,"4","3","1","4"
"172","172","nao","feminino",34,"4","1","1","2"
"173","173","nao","feminino",32,"1","3","1","4"
"174","174","nao","feminino",29,"4","1","3","3"
"175","175","nao","feminino",34,"4","1","3","1"
"176","176","nao","feminino",29,"4","1","3","3"
"177","177","nao","feminino",31,"4","3","1","3"
"178","178","nao","feminino",34,"4","3","1","4"
"179","179","nao","feminino",31,"3","1","2","3"
"180","180","nao","feminino",34,"4","1","3","3"
"181","181","nao","feminino",34,"4","3","1","2"
"182","182","nao","masculino",34,"5","1","3","3"
"183","183","nao","feminino",34,"3","2","3","3"
"184","184","nao","feminino",34,"4","3","3","3"
"185","185","nao","feminino",34,"3","2","3","3"
"186","186","nao","feminino",34,"4","1","1","2"
"187","187","nao","feminino",31,"3","1","2","3"
"188","188","nao","feminino",31,"3","1","2","3"
"189","189","nao","feminino",34,"4","3","3","3"
"190","190","nao","feminino",35,"4","3","4","2"
"191","191","nao","feminino",33,"4","1","5","4"
"192","192","nao","feminino",34,"3","2","5","4"
"193","193","nao","feminino",31,"2","3","3","3"
"194","194","nao","feminino",31,"4","3","1","3"
"195","195","nao","feminino",34,"4","3","1","2"
"196","196","nao","masculino",34,"3","2","4","2"
"197","197","nao","feminino",34,"4","1","3","1"
"198","198","nao","feminino",34,"2","3","3","3"
"199","199","nao","feminino",31,"3","1","2","3"
"200","200","nao","feminino",34,"2","2","1","1"
"201","201","nao","masculino",34,"1","4","2","3"
"202","202","nao","feminino",35,"4","3","4","2"
"203","203","nao","feminino",35,"2","3","1","4"
"204","204","nao","feminino",34,"4","1","1","2"
"205","205","nao","feminino",29,"4","1","3","3"
"206","206","nao","masculino",34,"2","2","3","3"
"207","207","nao","feminino",34,"4","1","3","1"
"208","208","nao","feminino",34,"3","2","5","4"
"209","209","nao","feminino",34,"4","4","1","4"
"210","210","nao","masculino",34,"2","2","3","3"
"211","211","nao","feminino",34,"1","5","3","3"
"212","212","nao","feminino",34,"3","2","5","4"
"213","213","nao","masculino",34,"5","1","3","3"
"214","214","nao","feminino",30,"4","3","5","4"
"215","215","nao","masculino",34,"3","2","4","2"
"216","216","nao","feminino",34,"4","3","3","3"
"217","217","nao","feminino",34,"4","3","1","2"
"218","218","nao","feminino",31,"4","3","1","3"
"219","219","nao","feminino",35,"2","3","1","4"
"220","220","nao","feminino",34,"2","4","1","4"
"221","221","nao","masculino",34,"1","4","2","3"
"222","222","nao","feminino",34,"4","3","1","4"
"223","223","nao","feminino",34,"5","1","1","3"
"224","224","nao","feminino",31,"2","3","3","3"
"225","225","nao","feminino",31,"3","1","2","3"
"226","226","nao","feminino",34,"4","3","1","4"
"227","227","nao","feminino",34,"3","2","3","3"
"228","228","nao","feminino",34,"4","3","1","4"
"229","229","nao","masculino",34,"1","1","4","1"
"230","230","nao","feminino",31,"3","1","2","3"
"231","231","nao","feminino",34,"3","2","3","3"
"232","232","nao","feminino",31,"4","3","1","3"
"233","233","nao","feminino",34,"2","4","1","4"
"234","234","nao","feminino",32,"1","3","1","4"
"235","235","nao","masculino",34,"2","2","3","3"
"236","236","nao","feminino",34,"4","3","3","3"
"237","237","nao","feminino",32,"4","3","3","5"
"238","238","nao","feminino",34,"4","1","3","1"
"239","239","nao","feminino",29,"4","1","3","3"
"240","240","nao","feminino",34,"4","4","1","4"
"241","241","nao","feminino",34,"3","2","3","3"
"242","242","nao","feminino",34,"4","3","1","4"
"243","243","nao","feminino",35,"4","3","4","2"
"244","244","nao","feminino",34,"1","5","3","3"
"245","245","nao","feminino",34,"2","4","3","5"
"246","246","nao","feminino",34,"1","5","3","3"
"247","247","nao","feminino",34,"4","3","3","3"
"248","248","nao","feminino",34,"3","2","3","3"
"249","249","nao","feminino",34,"3","2","3","3"
"250","250","nao","feminino",34,"4","1","3","1"
"251","251","nao","feminino",34,"4","1","3","1"
"252","252","nao","feminino",34,"1","5","3","3"
"253","253","nao","feminino",31,"2","3","3","3"
"254","254","nao","masculino",34,"1","1","4","1"
"255","255","nao","feminino",35,"2","3","1","4"
"256","256","nao","feminino",34,"5","1","1","3"
"257","257","nao","feminino",35,"4","3","4","2"
"258","258","nao","masculino",34,"5","1","3","3"
"259","259","nao","feminino",35,"4","3","4","2"
"260","260","nao","feminino",34,"3","2","3","3"
"261","261","nao","feminino",34,"3","2","3","3"
"262","262","nao","feminino",34,"4","3","1","4"
"263","263","nao","feminino",34,"4","1","1","2"
"264","264","nao","feminino",35,"2","3","1","4"
"265","265","nao","feminino",29,"4","1","3","3"
"266","266","nao","feminino",34,"3","2","3","3"
"267","267","nao","masculino",34,"2","2","3","3"
"268","268","nao","feminino",31,"2","3","3","3"
"269","269","nao","feminino",31,"4","3","1","3"
"270","270","nao","feminino",34,"4","1","1","2"
"271","271","nao","masculino",34,"5","1","3","3"
"272","272","nao","feminino",34,"4","1","3","3"
"273","273","nao","feminino",34,"3","2","3","3"
"274","274","nao","masculino",34,"3","2","4","2"
"275","275","nao","feminino",34,"1","5","3","3"
"276","276","nao","feminino",34,"3","2","3","3"
"277","277","nao","feminino",34,"4","1","3","1"
"278","278","nao","feminino",35,"4","3","4","2"
"279","279","nao","masculino",34,"1","1","4","1"
"280","280","nao","feminino",34,"4","4","3","3"
"281","281","nao","feminino",34,"3","2","3","3"
"282","282","nao","feminino",34,"4","4","3","3"
"283","283","nao","feminino",32,"1","3","1","4"
"284","284","nao","feminino",30,"4","3","5","4"
"285","285","nao","feminino",34,"4","3","5","1"
"286","286","nao","feminino",34,"4","1","3","1"
"287","287","nao","feminino",34,"4","3","1","2"
"288","288","nao","feminino",34,"4","3","1","2"
"289","289","nao","feminino",34,"4","4","3","3"
"290","290","nao","masculino",34,"3","2","4","2"
"291","291","nao","feminino",34,"4","3","3","3"
"292","292","nao","feminino",34,"2","3","3","3"
"293","293","nao","feminino",35,"3","2","3","3"
"294","294","nao","feminino",31,"2","3","3","3"
"295","295","nao","feminino",34,"2","3","3","1"
"296","296","nao","feminino",31,"4","3","1","3"
"297","297","nao","feminino",35,"4","3","4","2"
"298","298","nao","feminino",34,"4","4","3","3"
"299","299","nao","masculino",34,"5","1","3","3"
"300","300","nao","feminino",29,"4","1","3","3"
"301","301","nao","feminino",34,"4","3","3","3"
"302","302","nao","feminino",34,"3","2","1","4"
"303","303","nao","feminino",33,"4","1","5","4"
"304","304","nao","masculino",34,"3","2","4","2"
"305","305","nao","feminino",34,"4","3","1","4"
"306","306","nao","feminino",35,"2","3","1","4"
"307","307","nao","feminino",35,"3","2","3","3"
"308","308","nao","feminino",34,"4","3","1","2"
"309","309","nao","feminino",34,"4","1","3","3"
"310","310","nao","feminino",34,"3","2","1","4"
"311","311","nao","feminino",32,"1","3","1","4"
"312","312","nao","feminino",31,"3","1","2","3"
"313","313","nao","feminino",34,"3","2","3","3"
"314","314","nao","feminino",34,"4","3","3","3"
"315","315","nao","feminino",32,"4","3","3","5"
"316","316","nao","feminino",35,"2","3","1","4"
"317","317","nao","feminino",34,"3","2","3","3"
"318","318","nao","masculino",34,"1","1","4","1"
"319","319","nao","feminino",34,"4","1","1","2"
"320","320","nao","masculino",34,"5","1","3","3"
"321","321","nao","feminino",34,"3","2","3","3"
"322","322","nao","feminino",34,"4","3","5","1"
"323","323","nao","feminino",34,"4","4","3","3"
"324","324","nao","feminino",33,"4","1","5","4"
"325","325","nao","feminino",34,"2","4","1","4"
"326","326","nao","feminino",34,"4","3","1","4"
"327","327","nao","feminino",34,"4","3","1","2"
"328","328","nao","feminino",33,"4","1","5","4"
"329","329","nao","feminino",34,"2","3","3","3"
"330","330","nao","feminino",34,"3","2","3","3"
"331","331","nao","feminino",34,"3","2","3","3"
"332","332","nao","feminino",34,"2","2","1","1"
"333","333","nao","feminino",34,"5","1","4","2"
"334","334","nao","feminino",34,"3","2","3","3"
"335","335","nao","feminino",34,"4","3","1","4"
"336","336","nao","feminino",34,"4","1","3","1"
"337","337","nao","feminino",34,"3","2","1","4"
"338","338","nao","feminino",33,"4","1","5","4"
"339","339","nao","feminino",34,"4","3","5","1"
"340","340","nao","feminino",34,"3","2","3","3"
"341","341","nao","feminino",34,"4","1","3","3"
"342","342","nao","feminino",34,"3","2","3","3"
"343","343","nao","feminino",33,"4","1","5","4"
"344","344","nao","masculino",34,"5","1","3","3"
"345","345","nao","masculino",34,"1","4","2","3"
"346","346","nao","feminino",34,"2","2","1","1"
"347","347","nao","masculino",34,"2","2","3","3"
"348","348","nao","feminino",35,"2","3","1","4"
"349","349","nao","feminino",34,"4","1","3","1"
"350","350","nao","feminino",34,"4","4","1","4"
"351","351","nao","feminino",34,"4","4","3","3"
"352","352","nao","feminino",34,"3","2","3","3"
"353","353","nao","feminino",34,"4","3","3","3"
"354","354","nao","feminino",32,"1","3","1","4"
"355","355","nao","feminino",31,"2","3","3","3"
"356","356","nao","feminino",32,"1","3","1","4"
"357","357","nao","feminino",31,"3","1","2","3"
"358","358","nao","masculino",34,"5","1","3","3"
"359","359","nao","masculino",34,"1","1","4","1"
"360","360","nao","feminino",34,"3","2","3","3"
"361","361","nao","feminino",34,"2","3","3","1"
"362","362","nao","feminino",34,"2","2","1","1"
"363","363","nao","feminino",34,"3","2","5","4"
"364","364","nao","masculino",34,"5","1","3","3"
"365","365","nao","feminino",32,"1","3","1","4"
"366","366","nao","feminino",35,"2","3","1","4"
"367","367","nao","feminino",29,"4","1","3","3"
"368","368","nao","feminino",35,"4","3","4","2"
"369","369","nao","feminino",34,"2","4","1","4"
"370","370","nao","feminino",34,"4","4","1","4"
"371","371","nao","feminino",34,"2","3","3","1"
"372","372","nao","feminino",34,"2","3","3","1"
"373","373","nao","feminino",34,"4","4","1","4"
"374","374","nao","feminino",34,"4","3","1","4"
"375","375","nao","feminino",34,"2","2","1","1"
"376","376","nao","masculino",34,"1","4","2","3"
"377","377","nao","feminino",34,"4","1","1","2"
"378","378","nao","feminino",35,"3","2","3","3"
"379","379","nao","masculino",34,"3","2","4","2"
"380","380","nao","feminino",34,"4","4","3","3"
"381","381","nao","feminino",32,"4","3","3","5"
"382","382","nao","feminino",34,"4","3","3","3"
"383","383","nao","feminino",29,"4","1","3","3"
"384","384","nao","feminino",34,"3","2","3","3"
"385","385","nao","feminino",34,"4","1","1","2"
"386","386","nao","feminino",34,"3","5","1","3"
"387","387","nao","feminino",34,"1","5","3","3"
"388","388","nao","masculino",34,"3","2","4","2"
"389","389","nao","feminino",34,"4","4","1","4"
"390","390","nao","feminino",34,"4","3","5","1"
"391","391","nao","feminino",34,"4","3","1","2"
"392","392","nao","feminino",34,"4","3","1","4"
"393","393","nao","feminino",34,"4","4","3","3"
"394","394","nao","feminino",35,"3","2","3","3"
"395","395","nao","masculino",34,"2","2","3","3"
"396","396","nao","feminino",34,"3","2","3","3"
"397","397","nao","feminino",34,"3","2","3","3"
"398","398","nao","feminino",34,"4","3","5","1"
"399","399","nao","feminino",34,"4","3","1","2"
"400","400","nao","feminino",32,"1","3","1","4"
"401","401","nao","feminino",34,"3","2","3","3"
"402","402","nao","feminino",33,"4","1","5","4"
"403","403","nao","feminino",34,"4","4","3","3"
"404","404","nao","feminino",32,"1","3","1","4"
"405","405","nao","feminino",34,"4","3","5","1"
"406","406","nao","feminino",35,"3","2","3","3"
"407","407","nao","feminino",35,"2","3","1","4"
"408","408","nao","masculino",34,"1","4","2","3"
"409","409","nao","masculino",34,"2","2","3","3"
"410","410","nao","feminino",31,"3","1","2","3"
"411","411","nao","feminino",35,"2","3","1","4"
"412","412","nao","feminino",31,"3","1","2","3"
"413","413","nao","feminino",32,"4","3","3","5"
"414","414","nao","feminino",34,"4","4","3","3"
"415","415","nao","feminino",34,"4","1","1","2"
"416","416","nao","feminino",34,"1","5","3","3"
"417","417","nao","feminino",34,"3","5","1","3"
"418","418","nao","feminino",34,"2","4","1","4"
"419","419","nao","feminino",31,"4","3","1","3"
"420","420","nao","feminino",34,"4","4","1","4"
"421","421","nao","feminino",34,"4","1","3","1"
"422","422","nao","feminino",34,"2","2","1","1"
"423","423","nao","feminino",34,"3","2","5","4"
"424","424","nao","feminino",30,"4","3","5","4"
"425","425","nao","feminino",34,"4","3","5","1"
"426","426","nao","feminino",34,"1","5","3","3"
"427","427","nao","masculino",34,"1","4","2","3"
"428","428","nao","feminino",34,"2","4","3","5"
"429","429","nao","feminino",30,"4","3","5","4"
"430","430","nao","feminino",34,"3","2","3","3"
"431","431","nao","feminino",31,"4","3","1","3"
"432","432","nao","feminino",34,"4","3","1","4"
"433","433","nao","feminino",34,"4","3","1","4"
"434","434","nao","feminino",34,"3","2","3","3"
"435","435","nao","feminino",34,"2","4","3","5"
"436","436","nao","feminino",34,"5","1","4","2"
"437","437","nao","feminino",34,"4","3","3","3"
"438","438","nao","masculino",34,"5","1","3","3"
"439","439","nao","feminino",34,"3","2","3","3"
"440","440","nao","feminino",29,"4","1","3","3"
"441","441","nao","masculino",34,"1","1","4","1"
"442","442","nao","feminino",35,"3","2","3","3"
"443","443","nao","feminino",34,"5","1","1","3"
"444","444","nao","feminino",34,"4","1","1","2"
"445","445","nao","feminino",34,"3","2","1","4"
"446","446","nao","feminino",31,"2","3","3","3"
"447","447","nao","feminino",34,"3","2","5","4"
"448","448","nao","masculino",34,"2","2","3","3"
"449","449","nao","feminino",34,"3","2","3","3"
"450","450","nao","feminino",34,"3","2","3","3"
"451","451","nao","feminino",34,"3","2","3","3"
"452","452","nao","feminino",34,"3","2","3","3"
"453","453","nao","feminino",31,"3","1","2","3"
"454","454","nao","feminino",34,"4","1","3","3"
"455","455","nao","feminino",34,"3","2","3","3"
"456","456","nao","feminino",34,"4","4","3","3"
"457","457","nao","feminino",35,"2","3","1","4"
"458","458","nao","feminino",31,"2","3","3","3"
"459","459","nao","masculino",34,"1","1","4","1"
"460","460","nao","feminino",34,"3","2","3","3"
"461","461","nao","feminino",34,"5","1","4","2"
"462","462","nao","masculino",34,"3","2","4","2"
"463","463","nao","feminino",34,"4","3","3","3"
"464","464","nao","feminino",32,"4","3","3","5"
"465","465","nao","feminino",34,"4","4","3","3"
"466","466","nao","feminino",34,"4","4","3","3"
"467","467","nao","feminino",32,"4","3","3","5"
"468","468","nao","feminino",34,"3","2","3","3"
"469","469","nao","feminino",34,"3","5","1","3"
"470","470","nao","feminino",34,"2","3","3","3"
"471","471","nao","feminino",34,"5","1","1","3"
"472","472","nao","feminino",34,"3","5","1","3"
"473","473","nao","feminino",33,"4","1","5","4"
"474","474","nao","feminino",34,"3","2","1","4"
"475","475","nao","feminino",34,"3","2","5","4"
"476","476","nao","feminino",34,"4","3","5","1"
"477","477","nao","feminino",34,"4","3","3","3"
"478","478","nao","feminino",34,"3","2","3","3"
"479","479","nao","feminino",34,"4","1","3","3"
"480","480","nao","feminino",34,"4","4","1","4"
"481","481","nao","feminino",35,"2","3","1","4"
"482","482","nao","feminino",34,"4","3","3","3"
"483","483","nao","feminino",34,"4","1","1","2"
"484","484","nao","feminino",34,"2","4","1","4"
"485","485","nao","feminino",34,"3","2","3","3"
"486","486","nao","feminino",34,"2","3","3","3"
"487","487","nao","feminino",34,"4","3","3","3"
"488","488","nao","feminino",31,"3","1","2","3"
"489","489","nao","masculino",34,"1","4","2","3"
"490","490","nao","feminino",34,"4","4","3","3"
"491","491","nao","feminino",34,"4","1","3","1"
"492","492","nao","feminino",34,"4","1","3","3"
"493","493","nao","feminino",34,"2","4","1","4"
"494","494","nao","feminino",34,"4","3","5","1"
"495","495","nao","masculino",34,"1","4","2","3"
"496","496","nao","feminino",34,"3","2","3","3"
"497","497","nao","feminino",34,"5","1","4","2"
"498","498","nao","feminino",35,"2","3","1","4"
"499","499","nao","feminino",34,"3","2","5","4"
"500","500","nao","feminino",34,"4","1","3","3"
"501","501","nao","feminino",34,"3","2","3","3"
"502","502","nao","feminino",34,"4","4","1","4"
"503","503","nao","feminino",34,"3","2","3","3"
"504","504","nao","masculino",34,"1","4","2","3"
"505","505","nao","feminino",34,"4","1","1","2"
"506","506","nao","feminino",34,"4","1","1","2"
"507","507","nao","feminino",34,"5","1","1","3"
"508","508","nao","feminino",34,"4","3","1","2"
"509","509","nao","feminino",34,"3","2","3","3"
"510","510","nao","feminino",29,"4","1","3","3"
"511","511","nao","feminino",34,"1","5","3","3"
"512","512","nao","feminino",34,"4","3","3","3"
"513","513","nao","feminino",35,"4","3","4","2"
"514","514","nao","feminino",33,"4","1","5","4"
"515","515","nao","masculino",34,"3","2","4","2"
"516","516","nao","feminino",34,"4","4","3","3"
"517","517","nao","masculino",34,"5","1","3","3"
"518","518","nao","feminino",34,"3","5","1","3"
"519","519","nao","feminino",34,"3","2","3","3"
"520","520","nao","feminino",34,"4","3","1","2"
"521","521","nao","feminino",34,"3","2","3","3"
"522","522","nao","masculino",34,"2","2","3","3"
"523","523","nao","feminino",34,"4","4","3","3"
"524","524","nao","masculino",34,"3","2","4","2"
"525","525","nao","masculino",34,"1","4","2","3"
"526","526","nao","feminino",34,"4","4","3","3"
"527","527","nao","feminino",34,"1","5","3","3"
"528","528","nao","feminino",34,"5","1","1","3"
"529","529","nao","feminino",35,"2","3","1","4"
"530","530","nao","feminino",30,"4","3","5","4"
"531","531","nao","masculino",34,"5","1","3","3"
"532","532","nao","feminino",34,"3","2","5","4"
"533","533","nao","feminino",35,"2","3","1","4"
"534","534","nao","feminino",29,"4","1","3","3"
"535","535","nao","feminino",32,"4","3","3","5"
"536","536","nao","feminino",34,"4","3","1","2"
"537","537","nao","feminino",34,"3","5","1","3"
"538","538","nao","feminino",31,"3","1","2","3"
"539","539","nao","feminino",34,"2","3","3","1"
"540","540","nao","feminino",34,"2","2","1","1"
"541","541","nao","feminino",31,"2","3","3","3"
"542","542","nao","feminino",34,"2","2","1","1"
"543","543","nao","feminino",31,"4","3","1","3"
"544","544","nao","feminino",34,"1","5","3","3"
"545","545","nao","masculino",34,"5","1","3","3"
"546","546","nao","feminino",31,"4","3","1","3"
"547","547","nao","masculino",34,"3","2","4","2"
"548","548","nao","masculino",34,"2","2","3","3"
"549","549","nao","feminino",33,"4","1","5","4"
"550","550","nao","feminino",34,"4","4","1","4"
"551","551","nao","feminino",34,"4","3","3","3"
"552","552","nao","masculino",34,"1","4","2","3"
"553","553","nao","feminino",35,"4","3","4","2"
"554","554","nao","feminino",35,"3","2","3","3"
"555","555","nao","feminino",32,"4","3","3","5"
"556","556","nao","feminino",34,"4","3","1","2"
"557","557","nao","feminino",30,"4","3","5","4"
"558","558","nao","masculino",34,"1","4","2","3"
"559","559","nao","feminino",34,"4","3","1","4"
"560","560","nao","feminino",34,"2","4","1","4"
"561","561","nao","feminino",34,"4","3","3","3"
"562","562","nao","feminino",34,"2","4","1","4"
"563","563","nao","feminino",34,"2","3","3","1"
"564","564","nao","feminino",34,"2","4","1","4"
"565","565","nao","feminino",34,"4","3","1","4"
"566","566","nao","masculino",34,"3","2","4","2"
"567","567","nao","feminino",34,"4","4","3","3"
"568","568","nao","feminino",34,"4","1","3","1"
"569","569","nao","feminino",34,"4","3","1","2"
"570","570","nao","feminino",35,"2","3","1","4"
"571","571","nao","feminino",32,"4","3","3","5"
"572","572","nao","feminino",34,"4","4","3","3"
"573","573","nao","feminino",34,"4","3","1","4"
"574","574","nao","feminino",34,"4","3","3","3"
"575","575","nao","feminino",30,"4","3","5","4"
"576","576","nao","feminino",35,"4","3","4","2"
"577","577","nao","feminino",34,"4","4","1","4"
"578","578","nao","feminino",34,"4","3","1","4"
"579","579","nao","feminino",34,"4","1","1","2"
"580","580","nao","feminino",34,"2","2","1","1"
